Proposal ID,Programme Name,Sub-programme Name,Supplement,Lead Applicant,ORCID,Research Body,Funder Name,Crossref Funder Registry ID,Proposal Title,Start Date,End Date,Revised Total Commitment
00/PI.1/B038,SFI Principal Investigator Programme,,,Seamus Martin,https://orcid.org/0000-0002-8539-3143,Trinity College Dublin (TCD),Science Foundation Ireland,10.13039/501100001602,Establishing functional proteomic maps of proteins involved in apoptosis,01/10/2001,04/03/2007,5471668.03
00/PI.1/B045,SFI Principal Investigator Programme,,,Kingston Mills,https://orcid.org/0000-0003-3646-8222,Trinity College Dublin (TCD),Science Foundation Ireland,10.13039/501100001602,Pathogen-derived immunomodulatory molecules: future immunotherapeutics and vaccines,01/10/2001,04/12/2006,8069351.7
00/PI.1/B052,SFI Principal Investigator Programme,,,Kenneth Wolfe,https://orcid.org/0000-0003-4992-4979,Trinity College Dublin (TCD),Science Foundation Ireland,10.13039/501100001602,Functional Organisation of Eukaryotic Genomes,01/10/2001,04/12/2006,5632098.22
00/PI.1/C017,SFI Principal Investigator Programme,,,John Lewis,,Technological University Dublin (TU Dublin),Science Foundation Ireland,10.13039/501100001602,Measurement-Based Resource Management in Communication Networks.,01/12/2001,05/11/2006,2993354.6
00/PI.1/C028,SFI Principal Investigator Programme,,,John Pethica,,Trinity College Dublin (TCD),Science Foundation Ireland,10.13039/501100001602,Nanostructures and Molecule Mechanics.,01/12/2001,04/05/2007,7567188.72
00/PI.1/C042,SFI Principal Investigator Programme,,,Igor Shvets,https://orcid.org/0000-0001-7451-5435,Trinity College Dublin (TCD),Science Foundation Ireland,10.13039/501100001602,Studies of Surfaces and Interfaces of Magnetic Spinel Oxides.,01/12/2001,05/11/2006,7785757.07
00/PI.1/C043A,SFI Principal Investigator Programme,,,Michael Coey,https://orcid.org/0000-0003-0053-8452,Trinity College Dublin (TCD),Science Foundation Ireland,10.13039/501100001602,Conception and Implementation of Nanoscale Spin Electronics (CINSE),01/12/2001,05/11/2006,7458077.04
00/PI.1/C067,SFI Principal Investigator Programme,,,Doug Leith,https://orcid.org/0000-0003-4056-4014,"National University of Ireland, Maynooth (NUIM)",Science Foundation Ireland,10.13039/501100001602,Centre for the analysis and design of interacting computer controlled systems,01/11/2001,04/04/2007,7939335.11
00/PI.1/C072,SFI Principal Investigator Programme,,,Eoin O'Reilly,https://orcid.org/0000-0001-5537-2985,Tyndall National Institute (TNI),Science Foundation Ireland,10.13039/501100001602,The Physics of Next Generation ICT Photonic Devices..,01/12/2001,28/02/2007,6343003
00/PI.1/C075,SFI Principal Investigator Programme,,,Eugene Freuder,,University College Cork (UCC),Science Foundation Ireland,10.13039/501100001602,Constraint Computation: Automation and Application,01/12/2001,05/11/2006,8240514.66
00/PI.1/C077A.2,SFI Principal Investigator Programme,,,John Boland,https://orcid.org/0000-0002-3229-8038,Trinity College Dublin (TCD),Science Foundation Ireland,10.13039/501100001602,Atomtronics: Nanoscale Science and Technology for Future Information.,01/12/2001,04/05/2007,8287672.71
01/F.1/B006,SFI Principal Investigator Programme,,,Kevin Mitchell,https://orcid.org/0000-0002-3433-4530,Trinity College Dublin (TCD),Science Foundation Ireland,10.13039/501100001602,A molecular genetic approach to elucidate brain wiring mechanisms in mouse,01/06/2002,02/11/2007,1814153.9
01/F.1/B022,SFI Principal Investigator Programme,,,Cormac Taylor,https://orcid.org/0000-0002-0946-1247,University College Dublin (UCD),Science Foundation Ireland,10.13039/501100001602,Impact of Hypoxia on cAMP-dependent Pro-inflammatory Gene Expression in Epithelial Cells,01/08/2002,06/07/2007,1612706.12
01/F.1/B028,SFI Principal Investigator Programme,,,David MacHugh,https://orcid.org/0000-0002-8112-4704,University College Dublin (UCD),Science Foundation Ireland,10.13039/501100001602,Analysis of mammalian physiological and genetic regulatory networks using cDNA microarrays,01/10/2002,03/03/2008,1152315.01
01/F.1/B036,SFI Principal Investigator Programme,,,Lothar Steidler,,University College Cork (UCC),Science Foundation Ireland,10.13039/501100001602,Study of elements controlling human interleukin-10 expression and secretion in the probiotic.,01/01/2003,31/12/2007,1385825
01/F.1/C004,SFI Principal Investigator Programme,,,Toby Walsh,,University College Cork (UCC),Science Foundation Ireland,10.13039/501100001602,Sensitivity Analysis Solution Stability and Uncertainty in Constraint Programming,01/04/2002,06/03/2007,651381.52
01/F.1/C013,SFI Principal Investigator Programme,,,Guillaume Huyet,,Tyndall National Institute (TNI),Science Foundation Ireland,10.13039/501100001602,Nonlinear Dynamics and Quantum Optics of Semiconductor lasers for Phototonic Applications,01/08/2002,02/01/2008,1924425.96
01/F.1/C015,SFI Principal Investigator Programme,,,Nicholas Kushmerick,,University College Dublin (UCD),Science Foundation Ireland,10.13039/501100001602,Reliable and Scalable Information Services,01/04/2002,06/03/2007,648628.13
01/F.1/C023,SFI Principal Investigator Programme,,,Conor Heneghan,,University College Dublin (UCD),Science Foundation Ireland,10.13039/501100001602,A Signal Processing Perspective on Multicarrier Communication Technology,01/10/2002,05/09/2007,688991.25
01/F1/B018,SFI Principal Investigator Programme,,,Ciaran Morrison,https://orcid.org/0000-0003-2401-7029,"National University of Ireland, Galway (NUIG)",Science Foundation Ireland,10.13039/501100001602,DNA double-strand break repair and the maintenance of genomic stability,01/09/2002,06/08/2007,1624292.94
01/PI.2/B024,SFI Principal Investigator Programme,,,Luke O'Neill,https://orcid.org/0000-0002-4333-2748,Trinity College Dublin (TCD),Science Foundation Ireland,10.13039/501100001602,Toll-like receptors: targets for intervention in inflammatory and infectious diseases,01/08/2002,02/01/2008,3605786.43
01/PI.2/C033,SFI Principal Investigator Programme,,,Suzi Jarvis,,University College Dublin (UCD),Science Foundation Ireland,10.13039/501100001602,The Function of Nanoscale Complex Systems,01/07/2002,03/09/2007,4238287.2
